experiment,seed,episode_id,timestep,timestamp,agent_id,agent_type,demand_kw,solar_kw,p2p_bought_kw,p2p_sold_kw,grid_bought_kw,grid_sold_kw,net_cost,voltage_violation,thermal_violation,battery_soc,reward
no_battery,1024,0,4,2019-03-01 04:00:00,solar_08,solar,12.273353962680492,0.0,0.8143242580834972,0.0,11.459029962102493,0.0,98.1589627222142,False,False,0.0,-0.17584233264112717
no_battery,1024,0,4,2019-03-01 04:00:00,solar_09,solar,15.579841876263808,4.811008233512758,1.0360971605094829,0.0,14.543744744457836,0.0,124.59786854211438,False,False,0.0,-0.2249768361958007
no_battery,1024,0,4,2019-03-01 04:00:00,solar_10,solar,11.50190896182833,0.0,0.764904785778882,0.0,10.737004580450682,0.0,91.98510485140841,False,False,0.0,-0.16434980262127927
no_battery,1024,0,4,2019-03-01 04:00:00,solar_11,solar,5.53936691069972,0.0,0.0,0.0,5.539366937919824,0.0,45.145840544046564,False,False,0.0,-0.08392598727209102
no_battery,1024,0,4,2019-03-01 04:00:00,solar_12,solar,8.501411539278005,0.0,0.5653644232000603,0.0,7.936047092896223,0.0,67.98899250494057,False,False,0.0,-0.1197410990264383
no_battery,1024,0,4,2019-03-01 04:00:00,solar_13,solar,14.601232035518551,23.398707278046224,0.4034599319936964,0.0,6.3982027052587425,0.0,54.50760994968184,False,False,0.0,-0.04539770563700406
no_battery,1024,0,4,2019-03-01 04:00:00,solar_14,solar,13.159716777346187,0.0,0.7952995753815063,0.0,12.364416716111867,0.0,105.42647525017044,False,False,0.0,-0.18994407307944616
no_battery,1024,0,4,2019-03-01 04:00:00,solar_15,solar,13.020759478497403,0.0,0.3431887330818401,0.0,12.677570834291508,0.0,105.33157233166996,False,False,0.0,-0.1931753845561394
no_battery,1024,0,4,2019-03-01 04:00:00,consumer_01,consumer,3.4816370078300323,0.0,0.1387961748958096,0.0,3.3428407060814243,0.0,28.056803358578577,False,False,0.0,-0.046177735419167476
no_battery,1024,0,4,2019-03-01 04:00:00,consumer_02,consumer,4.861704591130245,0.0,0.22371695126212465,0.0,4.637987567602347,0.0,39.10946142559887,False,False,0.0,-0.06580195258409097
no_battery,1024,0,4,2019-03-01 04:00:00,consumer_03,consumer,3.743781445605037,0.0,0.0,0.0,3.743781532545215,0.0,30.511819490243504,False,False,0.0,-0.056721384369577375
no_battery,1024,0,4,2019-03-01 04:00:00,consumer_04,consumer,4.852279739157506,0.0,0.177164642505008,0.0,4.675115258773868,0.0,39.13948834087385,False,False,0.0,-0.0672834515444449
no_battery,1024,0,4,2019-03-01 04:00:00,consumer_05,consumer,5.683527403771149,0.0,0.29817413434084095,0.0,5.385353551669815,0.0,45.63644100267462,False,False,0.0,-0.07696858265890232
no_battery,1024,0,5,2019-03-01 05:00:00,college,college,19.01099939006567,10.606999861255288,5.593100145915523,0.0,13.417899854084476,0.0,142.10348516512386,False,False,0.5,-0.23474963242216643
no_battery,1024,0,5,2019-03-01 05:00:00,solar_01,solar,11.362900469288814,0.0,3.343003587865165,0.0,8.019897048790902,0.0,84.9354469545964,False,False,0.0,-0.12847441438638563
no_battery,1024,0,5,2019-03-01 05:00:00,solar_02,solar,7.2586273945123905,0.0,2.1355125743368384,0.0,5.123114750683495,0.0,54.256811340812675,False,False,0.0,-0.07144291932460933
no_battery,1024,0,5,2019-03-01 05:00:00,solar_03,solar,11.62171980425091,5.984952710124081,3.4191489721043355,0.0,8.202570541740624,0.0,86.87006714685698,False,False,0.0,-0.1320708677401244
no_battery,1024,0,5,2019-03-01 05:00:00,solar_04,solar,14.834022459841355,3.5916722508176613,4.364219511951042,0.0,10.469803655377811,0.0,110.88140503380251,False,False,0.0,-0.1767078755707696
no_battery,1024,0,5,2019-03-01 05:00:00,solar_05,solar,11.517268280612596,7.179182477686644,3.388418980604953,0.0,8.128849003112945,0.0,86.0893125068125,False,False,0.0,-0.13061944711768478
no_battery,1024,0,5,2019-03-01 05:00:00,solar_06,solar,10.048860546285402,0.0,2.9564085047413804,0.0,7.092451808386164,0.0,75.11325403360802,False,False,0.0,-0.1102149860949436
no_battery,1024,0,5,2019-03-01 05:00:00,solar_07,solar,8.457117442853917,75.93932745026605,0.0,42.16930117436482,0.0,0.0,-246.90125837590602,False,False,0.0,0.5673412011723661
no_battery,1024,0,5,2019-03-01 05:00:00,solar_08,solar,12.273353962680492,0.0,3.610862094566049,0.0,8.662492125619941,0.0,91.74090838748674,False,False,0.0,-0.14112574754830146
no_battery,1024,0,5,2019-03-01 05:00:00,solar_09,solar,15.579841876263808,14.433025057621064,3.168227069968802,0.0,7.600606538555434,0.0,80.49491278389414,False,False,0.0,-0.07021947417925752
no_battery,1024,0,5,2019-03-01 05:00:00,solar_10,solar,11.50190896182833,6.227509077442925,3.3839004236792225,0.0,8.118008942550341,0.0,85.97450986242713,False,False,0.0,-0.13040602933311415
no_battery,1024,0,5,2019-03-01 05:00:00,solar_11,solar,5.53936691069972,0.0,1.6297003855009726,0.0,3.909666552418851,0.0,41.40567815932183,False,False,0.0,-0.04755269983097814
no_battery,1024,0,5,2019-03-01 05:00:00,solar_12,solar,8.501411539278005,5.932388797979216,2.501143863614015,0.0,6.000267652482268,0.0,63.54637868919055,False,False,0.0,-0.08871219821382485
no_battery,1024,0,5,2019-03-01 05:00:00,solar_13,solar,14.601232035518551,62.39728755830447,0.0,8.797475366222795,0.0,0.0,-51.50921826923447,False,False,0.0,0.2269564250459705
no_battery,1024,0,5,2019-03-01 05:00:00,solar_14,solar,13.159716777346187,0.0,1.5115345683454513,0.0,11.648181723147921,0.0,103.78271594131819,False,False,0.0,-0.1814456967899494
no_battery,1024,0,5,2019-03-01 05:00:00,solar_15,solar,13.020759478497403,0.0,3.830751261701479,0.0,9.190008305671869,0.0,97.32761632848789,False,False,0.0,-0.15151142148634453
no_battery,1024,0,5,2019-03-01 05:00:00,consumer_01,consumer,3.4816370078300323,0.0,0.6268664619549512,0.0,2.8547704190222825,0.0,26.936682049777843,False,False,0.0,-0.023067811488124833
no_battery,1024,0,5,2019-03-01 05:00:00,consumer_02,consumer,4.861704591130245,0.0,1.302874983468572,0.0,3.5588295353959,0.0,36.63279374168508,False,False,0.0,-0.027902165426560946
no_battery,1024,0,5,2019-03-01 05:00:00,consumer_03,consumer,3.743781445605037,0.0,1.1014331195599643,0.0,2.6423484129852506,0.0,27.984030480853384,False,False,0.0,-0.007891727352719589
no_battery,1024,0,5,2019-03-01 05:00:00,consumer_04,consumer,4.852279739157506,0.0,1.427557068216603,0.0,3.4247228330622725,0.0,36.269837723865734,False,False,0.0,-0.023295019103098946
no_battery,1024,0,5,2019-03-01 05:00:00,consumer_05,consumer,5.683527403771149,0.0,1.6721129624923001,0.0,4.011414723518356,0.0,42.48325139206702,False,False,0.0,-0.03484573717921777
no_battery,1024,0,6,2019-03-01 06:00:00,college,college,19.01099939006567,31.821000371038913,7.287006709533276,0.0,1.1169932904667244,0.0,51.768919601621135,False,False,0.5,0.04047051785072356
no_battery,1024,0,6,2019-03-01 06:00:00,solar_01,solar,11.362900469288814,3.4142623842592075,9.852633648152391,0.0,1.5102669885036768,0.0,69.99584596623723,False,False,0.0,-0.04341328565479864
no_battery,1024,0,6,2019-03-01 06:00:00,solar_02,solar,7.2586273945123905,4.551002632528076,6.293867922349446,0.0,0.9647594026708877,0.0,44.71338581712374,False,False,0.0,0.003586734792521598
no_battery,1024,0,6,2019-03-01 06:00:00,solar_03,solar,11.62171980425091,17.954858574587576,4.887572221360926,0.0,0.7491945040738637,0.0,34.72267056427021,False,False,0.0,0.07215944561251411
no_battery,1024,0,6,2019-03-01 06:00:00,solar_04,solar,14.834022459841355,10.775017019034186,9.748106403759529,0.0,1.4942444657708442,0.0,69.25325539004443,False,False,0.0,0.007967188083089258
no_battery,1024,0,6,2019-03-01 06:00:00,solar_05,solar,11.517268280612596,21.537547965913422,3.761501368952456,0.0,0.5765840431716027,0.0,26.722750467065197,False,False,0.0,0.08703127398396111
no_battery,1024,0,6,2019-03-01 06:00:00,solar_06,solar,10.048860546285402,6.34178462141698,8.713245183831875,0.0,1.33561512929567,0.0,61.90131385509534,False,False,0.0,-0.02836557382251087
no_battery,1024,0,6,2019-03-01 06:00:00,solar_07,solar,8.457117442853917,94.92400901078601,0.0,67.48221213160551,0.0,0.0,-395.1083520305503,False,False,0.0,0.8400736242450331
no_battery,1024,0,6,2019-03-01 06:00:00,solar_08,solar,12.273353962680492,0.0,10.642076933718926,0.0,1.6312772864670642,0.0,75.60427033163089,False,False,0.0,-0.05383933036310974
